Country,year,GDP,unemployment,population
Saint Vincent and the Grenadines,2014,0.771,,
Samoa,2014,0.797,8.72,201757.0
San Marino,2014,1.674,,33389.0
Saudi Arabia,2014,766.606,5.72,32125564.0
Senegal,2014,19.802,7.625,13970308.0
Republic of Serbia,2014,47.062,,
Seychelles,2014,1.388,,91359.0
Sierra Leone,2014,5.007,4.68,7140688.0
Singapore,2014,314.864,3.74,5469724.0
Slovakia,2014,101.463,,
Slovenia,2014,50.01,9.67,2061980.0
Solomon Islands,2014,1.336,0.734,597375.0
Somalia,2014,5.025,19.01,13309235.0
South Africa,2014,381.195,22.61,54729551.0
South Sudan,2014,15.179,12.139,11213284.0
Spain,2014,1372.174,24.44,46480882.0
Sri Lanka,2014,82.483,4.19,21239457.0
Sudan,2014,60.726,17.385,37003245.0
Suriname,2014,5.612,6.94,569682.0
Sweden,2014,581.964,7.95,9696110.0
Switzerland,2014,726.684,4.83,8188649.0
Sao Tome und Principe,2014,0.349,,
Taiwan,2014,535.328,,
Tajikistan,2014,9.242,8.227,8326348.0
United Republic of Tanzania,2014,50.002,,
Thailand,2014,407.373,0.58,69960943.0
Timor-Leste,2014,1.447,4.213,1184830.0
Togo,2014,6.174,2.145,7288383.0
Tonga,2014,0.44,1.826,106626.0
Trinidad and Tobago,2014,29.489,2.48,1450661.0
Tunisia,2014,50.273,14.26,11428948.0
Turkmenistan,2014,55.523,4.126,5663152.0
Tuvalu,2014,0.039,,10899.0
Turkey,2014,938.512,,
Uganda,2014,33.122,2.323,36336539.0
Ukraine,2014,133.392,9.27,45272155.0
United Arab Emirates,2014,414.105,1.902,8835951.0
United Kingdom,2014,3066.819,6.11,64602298.0
United States of America,2014,17550.675,,
Uruguay,2014,62.28,6.55,3391662.0
Uzbekistan,2014,80.848,5.09,30757700.0
Vanuatu,2014,0.774,1.792,269927.0
Venezuela,2014,214.69,,
Vietnam,2014,232.888,1.26,91235504.0
West Bank and Gaza,2014,13.99,20.53,4173398.0
Yemen,2014,43.229,,
Zambia,2014,27.145,8.133,15737793.0
Zimbabwe,2014,19.499,4.77,13855753.0
